  2.72000002861022940E-003  2.42044084656263432E-002  2.45536188136972651E-002
  1.36000001430511470E-003  2.44663162266795312E-002  2.45900806898631703E-002
  6.80000007152557350E-004  2.45591395740672597E-002  2.46029501844031231E-002
  3.40000003576278675E-004  2.45919975318191764E-002  2.46074963584209765E-002
  1.70000001788139337E-004  2.46036216517705499E-002  2.46091029844935083E-002
  8.50000008940696687E-005  2.46077326513127574E-002  2.46096708904647160E-002
  4.25000004470348344E-005  2.46091863306767515E-002  2.46098716539316885E-002
  2.12500002235174172E-005  2.46097003231179959E-002  2.46099426307128458E-002
  1.06250001117587086E-005  2.46098820538140639E-002  2.46099677241184665E-002
  5.31250005587935429E-006  2.46099463065423615E-002  2.46099765958574281E-002
  2.65625002793967715E-006  2.46099690235286744E-002  2.46099797324697729E-002
  1.32812501396983857E-006  2.46099770552344749E-002  2.46099808414259116E-002
  6.64062506984919287E-007  2.46099798948783699E-002  2.46099812335004303E-002
  3.32031253492459643E-007  2.46099808988450366E-002  2.46099813721199975E-002
  1.66015626746229822E-007  2.46099812538010006E-002  2.46099814211294850E-002
  8.30078133731149108E-008  2.46099813792959900E-002  2.46099814384553479E-002
  4.15039066865574554E-008  2.46099814236652552E-002  2.46099814445813678E-002
  2.07519533432787277E-008  2.46099814393537751E-002  2.46099814467488562E-002
  1.03759766716393639E-008  2.46099814449003973E-002  2.46099814475148788E-002
