          12   146.00000    
          14   344.00000    
          16   602.00000    
          18   928.00000    
          20   1330.0000    
          22   1816.0000    
          24   2394.0000    
          26   3072.0000    
          28   3858.0000    
          30   4760.0000    
          32   5786.0000    
          34   6944.0000    
          36   8242.0000    
          38   9688.0000    
          40   11290.000    
          42   13056.000    
          44   14994.000    
          46   17112.000    
          48   19418.000    
          50   21920.000    
          52   24626.000    
          54   27544.000    
          56   30682.000    
          58   34048.000    
          60   37650.000    
          62   41496.000    
          64   45594.000    
          66   49952.000    
          68   54578.000    
          70   59480.000    
          72   64666.000    
          74   70144.000    
          76   75922.000    
          78   82008.000    
          80   88410.000    
          82   95136.000    
          84   102194.00    
          86   109592.00    
          88   117338.00    
          90   125440.00    
          92   133906.00    
          94   142744.00    
          96   151962.00    
          98   161568.00    
         100   171570.00    
         102   181976.00    
         104   192794.00    
         106   204032.00    
         108   215698.00    
         110   227800.00    
         112   240346.00    
         114   253344.00    
         116   266802.00    
         118   280728.00    
         120   295130.00    
         122   310016.00    
         124   325394.00    
         126   341272.00    
         128   357658.00    
         130   374560.00    
         132   391986.00    
         134   409944.00    
         136   428442.00    
         138   447488.00    
         140   467090.00    
         142   487256.00    
         144   507994.00    
         146   529312.00    
         148   551218.00    
         150   573720.00    
         152   596826.00    
         154   620544.00    
         156   644882.00    
         158   669848.00    
         160   695450.00    
         162   721696.00    
         164   748594.00    
         166   776152.00    
         168   804378.00    
         170   833280.00    
         172   862866.00    
         174   893144.00    
         176   924122.00    
         178   955808.00    
         180   988210.00    
         182   1021336.0    
         184   1055194.0    
         186   1089792.0    
         188   1125138.0    
         190   1161240.0    
         192   1198106.0    
         194   1235744.0    
         196   1274162.0    
         198   1313368.0    
         200   1353370.0    
         202   1394176.0    
         204   1435794.0    
         206   1478232.0    
         208   1521498.0    
         210   1565600.0    
         212   1610546.0    
         214   1656344.0    
         216   1703002.0    
         218   1750528.0    
         220   1798930.0    
         222   1848216.0    
         224   1898394.0    
         226   1949472.0    
         228   2001458.0    
         230   2054360.0    
         232   2108186.0    
         234   2162944.0    
         236   2218642.0    
         238   2275288.0    
         240   2332890.0    
         242   2391456.0    
         244   2450994.0    
         246   2511512.0    
         248   2573018.0    
         250   2635520.0    
         252   2699026.0    
         254   2763544.0    
         256   2829082.0    
         258   2895648.0    
         260   2963250.0    
         262   3031896.0    
         264   3101594.0    
         266   3172352.0    
         268   3244178.0    
         270   3317080.0    
         272   3391066.0    
         274   3466144.0    
         276   3542322.0    
         278   3619608.0    
         280   3698010.0    
         282   3777536.0    
         284   3858194.0    
         286   3939992.0    
         288   4022938.0    
         290   4107040.0    
         292   4192306.0    
         294   4278744.0    
         296   4366362.0    
         298   4455168.0    
         300   4545170.0    
         302   4636376.0    
         304   4728794.0    
         306   4822432.0    
         308   4917298.0    
         310   5013400.0    
         312   5110746.0    
         314   5209344.0    
         316   5309202.0    
         318   5410328.0    
         320   5512730.0    
         322   5616416.0    
         324   5721394.0    
         326   5827672.0    
         328   5935258.0    
         330   6044160.0    
         332   6154386.0    
