  9.38703179392892315E-003  2.49785061948598515E-002 -2.28973392356584008E-003
  1.87740635878578463E-002  2.49355370639259277E-002 -4.57749924334064327E-003
  2.81610953817867694E-002  2.48711295500033229E-002 -6.86132904804482441E-003
  3.75481271757156926E-002  2.47853390275941908E-002 -9.13925980996656111E-003
  4.69351589696446192E-002  2.46782392552893914E-002 -1.14093330731090733E-002
  5.63221907635735389E-002  2.45499223123543837E-002 -1.36695971369774853E-002
  6.57092225575024586E-002  2.44004985195638742E-002 -1.59181087345576372E-002
  7.50962543514313852E-002  2.42300963443532816E-002 -1.81529347030441740E-002
  8.44832861453603118E-002  2.40388622903685879E-002 -2.03721536458815466E-002
  9.38703179392892384E-002  2.38269607715094894E-002 -2.25738575846889285E-002
  0.10325734973321815       2.35945739705741980E-002 -2.47561535996488405E-002
  0.11264438152714708       2.33419016826273695E-002 -2.69171654569491312E-002
  0.12203141332107600       2.30691611432258664E-002 -2.90550352218791504E-002
  0.13141844511500492       2.27765868416499942E-002 -3.11679248561931958E-002
  0.14080547690893386       2.24644303193008363E-002 -3.32540177983679658E-002
  0.15019250870286277       2.21329599534369759E-002 -3.53115205253953304E-002
  0.15957954049679168       2.17824607264365602E-002 -3.73386640947676873E-002
  0.16896657229072062       2.14132339807830627E-002 -3.93337056653301834E-002
  0.17835360408464954       2.10255971599854312E-002 -4.12949299956922519E-002
  0.18774063587857848       2.06198835356553173E-002 -4.32206509189101834E-002
  0.19712766767250739       2.01964419209760861E-002 -4.51092127921728508E-002
  0.20651469946643630       1.97556363708099002E-002 -4.69589919202442960E-002
  0.21590173126036524       1.92978458687007616E-002 -4.87683979514392796E-002
  0.22528876305429416       1.88234640010425634E-002 -5.05358752449316384E-002
  0.23467579484822307       1.83328986186923233E-002 -5.22599042082199372E-002
  0.24406282664215201       1.78265714863195118E-002 -5.39390026036004611E-002
  0.25344985843608092       1.73049179197929427E-002 -5.55717268225243560E-002
  0.26283689023000983       1.67683864119170002E-002 -5.71566731267432460E-002
  0.27222392202393875       1.62174382468389597E-002 -5.86924788551763180E-002
  0.28161095381786772       1.56525471034589178E-002 -6.01778235954611718E-002
  0.29099798561179663       1.50741986481833269E-002 -6.16114303191812526E-002
  0.30038501740572554       1.44828901173722178E-002 -6.29920664797938845E-002
  0.30977204919965445       1.38791298898391473E-002 -6.43185450723148255E-002
  0.31915908099358337       1.32634370497713965E-002 -6.55897256538484769E-002
  0.32854611278751233       1.26363409404461873E-002 -6.68045153240861417E-002
  0.33793314458144125       1.19983807091266406E-002 -6.79618696649294807E-002
  0.34732017637537016       1.13501048435287223E-002 -6.90607936384312893E-002
  0.35670720816929907       1.06920707002577196E-002 -7.01003424422815546E-002
  0.36609423996322799       1.00248440256196763E-002 -7.10796223221033391E-002
  0.37548127175715695       9.34899846921974885E-003 -7.19977913398600483E-002
  0.38486830355108587       8.66511509076570326E-003 -7.28540600977135577E-002
  0.39425533534501478       7.97378186050054158E-003 -7.36476924167106944E-002
  0.40364236713894369       7.27559315369379414E-003 -7.43780059697147777E-002
  0.41302939893287260       6.57114923962606647E-003 -7.50443728680378203E-002
  0.42241643072680152       5.86105576550620400E-003 -7.56462202012692514E-002
  0.43180346252073049       5.14592323576476725E-003 -7.61830305298368815E-002
  0.44119049431465940       4.42636648717150295E-003 -7.66543423298767373E-002
  0.45057752610858831       3.70300416022807232E-003 -7.70597503900291997E-002
  0.45996455790251722       2.97645816729051734E-003 -7.73989061598203826E-002
  0.46935158969644614       2.24735315787874014E-003 -7.76715180493291746E-002
  0.47873862149037510       1.51631598163270097E-003 -7.78773516798822868E-002
  0.48812565328430402       7.83975149377057505E-004 -7.80162300855618690E-002
  0.49751268507823293       5.09602927575968242E-005 -7.80880338653523187E-002
  0.50689971687216184      -6.82098377085960561E-004 -7.80927012857955960E-002
  0.51628674866609081      -1.41457061134537794E-003 -7.80302283340666841E-002
  0.52567378046001967      -2.14582666540170594E-003 -7.79006687214236077E-002
  0.53506081225394864      -2.87523784024960654E-003 -7.77041338370291074E-002
  0.54444784404787749      -3.60217702302271072E-003 -7.74407926521835238E-002
  0.55383487584180646      -4.32601922615528760E-003 -7.71108715750513374E-002
  0.56322190763573543      -5.04614212471668315E-003 -7.67146542560063066E-002
  0.57260893942966429      -5.76192659145655268E-003 -7.62524813437623766E-002
  0.58199597122359326      -6.47275722910087715E-003 -7.57247501925002037E-002
  0.59138300301752211      -7.17802289944113013E-003 -7.51319145202410665E-002
  0.60077003481145108      -7.87711724876169819E-003 -7.44744840187617496E-002
  0.61015706660538005      -8.56943922915382600E-003 -7.37530239153859346E-002
  0.61954409839930891      -9.25439361526788316E-003 -7.29681544870287579E-002
  0.62893113019323788      -9.93139151605966670E-003 -7.21205505269123526E-002
  0.63831816198716673      -1.05998508810907811E-002 -7.12109407644109238E-002
  0.64770519378109570      -1.12591970009477838E-002 -7.02401072385240161E-002
  0.65709222557502467      -1.19088630013498686E-002 -6.92088846255167756E-002
  0.66647925736895353      -1.25482903305202832E-002 -6.81181595213052188E-002
  0.67586628916288249      -1.31769292394024479E-002 -6.69688696792034022E-002
  0.68525332095681135      -1.37942392543079217E-002 -6.57620032036879409E-002
  0.69464035275074032      -1.43996896415898475E-002 -6.44985977008730449E-002
  0.70402738454466929      -1.49927598639423756E-002 -6.31797393864263340E-002
  0.71341441633859815      -1.55729400279337581E-002 -6.18065621516925220E-002
  0.72280144813252711      -1.61397313223883530E-002 -6.03802465888278739E-002
  0.73218847992645597      -1.66926464472406354E-002 -5.89020189757834406E-002
